Group,Genus,Species,Tandem,Parthenogenesis,Incipient,Mature,Source,Ref,Note1,Note2
Basal,Zootermopsis,angusticollis,1,Tychoparthenogenesis,monogamous,monogamous,genetics,"Booth W, Brent CS, Calleri DV, Rosengaus RB, Traniello JFA, Vargo EL. Population genetic structure and colony breeding system in dampwood termites (Zootermopsis angusticollis and Z. nevadensis nuttingi). Insectes Sociaux. 2012;59(1):127–37. ",,
Basal,Anacanthotermes,ochraceus,0,NA,NA,NA,NA,NA,,
Basal,Anacanthotermes,macrocephalus,0,NA,multiple,NA,field,"Roonwal ML, Rathore NS. Swarming, Egg-Laying and Hatching in the Indian Desert Harvester Termite, Anacanthotermes Macrocephalus (Hodotermitidae). Annals of Arid Zone. 1975;14(4):37–55. ",,
Basal,Hodotermes,mossambicus,1,NA,monogamous,NA,behavior,"Hewitt PH, Watson JAL, Nel JJC, Schoeman I. Control of the change from group to pair behaviour by Hodotermes mossambicus reproductives. Journal of Insect Physiology. 1972 Jan;18(1):143–50. ",Infer from the fact that group alates and paired alates show distinctive behavioral change,
Basal,Porotermes,adamsoni,1,NA,monogamous,monogamous,field,"Nkunika POY. The Bology and ecology of the dampwood termite, Porotermes adamson (Froggati) (Isoptera: Termopsidae) in South Australia. University of Adelaide. University of Adelaide; 1988. ",neotenic common,
Basal,Stolotermes,ruficeps,0,NA,monogamous,monogamous,field,Morgan FD. The ecology and external morphology of Stolotermes ruficeps Brauer (Isoptera: Hodotermitidae). Transactions of the Royal Society of New Zealand. 1959;86(1):155–95. ,neotenic common,
Basal,Hodotermopsis,sjostedti,1,NA,monogamous,NA,field,Mizumoto personal observation,,
Basal,Mastotermes,darwiniensis,0,NA,NA,NA,NA,NA,,
Kalo,Bifiditermes,beesoni,0,Tychoparthenogenesis,NA,NA,NA,NA,,
Kalo,Cryptotermes,brevis,1,NA,monogamous,NA,behavior,McMahan EA. Laboratory studies of Cryptotermes brevis (Walker) (Isoptera: Kalotermitidae): with special reference to colony development and behaviors. U niversity of Hawaii; 1960. ,,
Kalo,Cryptotermes,havilandi,0,NA,monogamous,NA,behavior,"Wilkinson W. Dispersal of alates and establishment of new colonies in Cryptotermes havilandi (Sjöstedt) (Isoptera, Kalotermitidae). Bulletin of Entomological Research. 1962;53(2):265–86. ",,
Kalo,Cryptotermes,domesticus,0,NA,NA,NA,NA,NA,,
Kalo,Cryptotermes,cynocephalus,1,NA,NA,NA,NA,NA,,
Kalo,Cryptotermes,dudleyi,1,NA,monogamous,NA,field,"Neoh KB, Lee CY. Developmental Stages and Caste Composition of a Mature and Incipient Colony of the Drywood Termite, Cryptotermes dudleyi (Isoptera: Kalotermitidae). Journal of Economic Entomology. 2011 Apr 1;104(2):622–8. ",limited sample size,
Kalo,Incisitermes,minor,1,NA,NA,monogamous,field,Nutting WL. Composition and size of some termite colonies in Arizona and Mexico. Annals of the Entomological Society of America. 1970;63(4):1105–10. ,,
Kalo,Kalotermes,flavicollis,1,Tychoparthenogenesis,NA,NA,NA,NA,,
Kalo,Marginitermes,hubbardi,1,NA,NA,monogamous,field,Nutting WL. Composition and size of some termite colonies in Arizona and Mexico. Annals of the Entomological Society of America. 1970;63(4):1105–10. ,,
Kalo,Neotermes,sugioi,0,Tychoparthenogenesis,monogamous,monogamous,field,"Sugio K, Miyaguni Y, Yoshimura T. Colony structure and caste distribution in living trees of the Ryukyu drywood termite, Neotermes sugioi (Blattodea: Kalotermitidae) in Okinawa Island. Journal of Asia-Pacific Entomology. 2020 Dec 1;23(4):853–62. ",,
Kalo,Paraneotermes,simplicicornis,1,NA,monogamous,monogamous,field/behavior,"Light SF. Contributions to the biology and taxonomy of Kalotermes (Paraneotermes) simplicicornis Bank (Isoptera),. University of California Publications in Entomology. 1937;6:423–64. / Mizumoto N, Gile GH, Pratt SC. Behavioral rules for soil excavation by colony founders and workers in termites. Annals of the Entomological Society of America. 2021;114(5):654–61. ",,
Kalo,Pterotermes,occidentis,0,NA,NA,monogamous,field,Nutting WL. Composition and size of some termite colonies in Arizona and Mexico. Annals of the Entomological Society of America. 1970;63(4):1105–10. ,,
Kalo,Glyptotermes,satsumensis,1,NA,monogamous,multiple,field,This study,,
Kalo,Glyptotermes,nakajimai_sexual,0,Tychoparthenogenesis,NA,multiple,field,"Yashiro T, Lo N, Kobayashi K, Nozaki T, Fuchikawa T, Mizumoto N, et al. Loss of males from mixed-sex societies in termites. BMC Biology. 2018 Dec 25;16(1):96.",,
Kalo,Glyptotermes,nakajimai_asexual,0,Parthenogenesis,multiple,multiple,field,"Yashiro T, Lo N, Kobayashi K, Nozaki T, Fuchikawa T, Mizumoto N, et al. Loss of males from mixed-sex societies in termites. BMC Biology. 2018 Dec 25;16(1):96.",,
Kalo,Glyptotermes,fuscus,1,NA,monogamous,multiple,field,This study,,
Neo,Coptotermes,formosanus,1,NA,monogamous,monogamous,genetics,"Su NY, Lee CY, editors. Biology and Management of the Formosan Subterranean Termite and Related Species [Internet]. GB: CABI; 2023 [cited 2024 Jan 9]. Available from: http://www.cabidigitallibrary.org/doi/book/10.1079/9781800621596.0000",,
Neo,Coptotermes,gestroi,1,NA,monogamous,monogamous,genetics,"Su NY, Lee CY, editors. Biology and Management of the Formosan Subterranean Termite and Related Species [Internet]. GB: CABI; 2023 [cited 2024 Jan 9]. Available from: http://www.cabidigitallibrary.org/doi/book/10.1079/9781800621596.0000",,
Neo,Prorhinotermes,simplex,1,NA,NA,NA,NA,NA,,
Neo,Psammotermes,hybostoma,1,NA,NA,NA,NA,NA,,
Neo,Reticulitermes,speratus,1,Parthenogenesis,monogamous,monogamous,field,"Matsuura K, Mizumoto N, Kobayashi K, Nozaki T, Fujita T, Yashiro T, et al. A genomic imprinting model of termite caste determination: Not genetic but epigenetic inheritance influences offspring caste fate. American Naturalist. 2018;191(6):677–90. ",,
Neo,Reticulitermes,flavipes,1,Tychoparthenogenesis,monogamous,monogamous,genetics,"Vargo EL, Juba TR, Deheer CJ. Relative Abundance and Comparative Breeding Structure of Subterranean Termite Colonies (Reticulitermes flavipes, Reticulitermes hageni, Reticulitermes virginicus, and Coptotermes formosanus) in a South Carolina Lowcountry Site as Revealed by Molecular Markers. Annals of the Entomological Society of America. 2006 Nov 1;99(6):1101–9. ",,
